Ferguson Fire & Fabrication Price Book    Net Price List
Effective: 2/23/2022    METRO FIRE EQUIPMENT INC
Gemini Trilogie           Abbr     Size                  Description                              Finish     Price Listno               
---------------------------------------------------------------------------------------------------------------------------------------
SBA112,A001JG,HSBAE01,1.5 x 1,"Sway Brace Afcon E 01",Blk,$11.85,09-003-3-01-1-1510
,A0363187576,,,"*NLA 2X2-1/2 M300 300# DOM TOL",,$7.24,
,A0363187618,,,"*NLA 2X6 M300 300# DOM TOL",,$7.24,
,A0363190067,,,"1/2X2 - 2-1/2 300# DOM TOL",,$4.18,
554003,A0363190083,POL,2.5-10 x .5,"PIPE O LET DOM",Blk,$4.18,08-001-1-01-1-6005
554010,A0363190141,POL,1-1.5 x .7,"PIPE O LET DOM",Blk,$4.18,08-001-1-01-1-1507
554011,A0363190166,POL,2-10 x .7,"PIPE O LET DOM",Blk,$4.18,08-001-1-01-1-2507
554022,A0363190208,POL,1-1.5 x 1,"PIPE O LET DOM",Blk,$6.07,08-001-1-01-1-1210
554024,A0363190240,POL,2-2.5 x 1,"PIPE O LET DOM",Blk,$6.07,08-001-1-01-1-2010
554026,A0363190281,POL,3-4 x 1,"PIPE O LET DOM",Blk,$6.07,08-001-1-01-1-3010
554069,A0363190307,POL,16  x 1,"PIPE O LET DOM",Blk,$6.07,08-001-1-01-1-G010
554032,A0363190349,POL,1.5-2 x 1.2,"PIPE O LET DOM",Blk,$8.87,08-001-1-01-1-1512
554034,A0363190364,POL,2-2.5 x 1.2,"PIPE O LET DOM",Blk,$8.87,08-001-1-01-1-2512
554036,A0363190406,POL,3-10 x 1.2,"PIPE O LET DOM",Blk,$8.87,08-001-1-01-1-3012
554041,A0363190463,POL,2-2.5 x 1.5,"PIPE O LET DOM",Blk,$10.69,08-001-1-01-1-2015
554042,A0363190471,POL,2.5 x 1.5,"PIPE O LET DOM",Blk,$10.69,08-001-1-01-1-2515
554043,A0363190489,POL,3-4 x 1.5,"PIPE O LET DOM",Blk,$10.69,08-001-1-01-1-3015
554043,A0363190505,POL,3-4 x 1.5,"PIPE O LET DOM",Blk,$10.69,08-001-1-01-1-4015
554050,A0363190547,POL,2   x 2,"PIPE O LET DOM",Blk,$14.10,08-001-1-01-1-2020
554051,A0363190562,POL,2.5 x 2,"PIPE O LET DOM",Blk,$14.10,08-001-1-01-1-2520
554052,A0363190588,POL,3   x 2,"PIPE O LET DOM",Blk,$14.10,08-001-1-01-1-3020
554055,A0363190604,POL,4   x 2,"PIPE O LET DOM",Blk,$14.10,08-001-1-01-1-4020
554057,A0363190646,POL,5-6 x 2,"PIPE O LET DOM",Blk,$14.10,08-001-1-01-1-5020
POLM36,A0363190687,POLM,2.5 x 2.5,"PIPE O LET IMP",Blk,$24.66,08-001-1-02-1-2525
POLM44,A0363190703,POLM,3   x 2.5,"PIPE O LET IMP",Blk,$24.66,08-001-1-02-1-3025
POLM53,A0363190729,POLM,4   x 2.5,"PIPE O LET IMP",Blk,$24.66,08-001-1-02-1-4025
POLM72,A0363190760,POLM,6   x 2.5,"PIPE O LET IMP",Blk,$24.66,08-001-1-02-1-6025
POLM91,A0363190786,POLM,10  x 2.5,"PIPE O LET IMP",Blk,$24.66,08-001-1-02-1-A025
554341,A0363190984,GOL40,1.2 x 1.2,"GOL SCH 40 DOM",Blk,$8.81,08-002-1-03-1-1214
554341,A0363191008,GOL40,1.5 x 1.2,"GOL SCH 40 DOM",Blk,$8.81,08-002-1-03-1-1512
554341,A0363191024,GOL40,2-2.5 x 1.2,"GOL SCH 40 DOM",Blk,$8.81,08-002-1-03-1-2512
554344,A0363191040,GOL40,3-4 x 1.2,"GOL SCH 40 DOM",Blk,$8.81,08-002-1-03-1-4012
554346,A0363191081,GOL40,1.5 x 1.5,"GOL SCH 40 DOM",Blk,$9.51,08-002-1-03-1-1515
554347,A0363191107,GOL40,2   x 1.5,"GOL SCH 40 DOM",Blk,$9.51,08-002-1-03-1-2015
554348,A0363191123,GOL40,2.5 x 1.5,"GOL SCH 40 DOM",Blk,$9.51,08-002-1-03-1-2515
554349,A0363191149,GOL40,3-4 x 1.5,"GOL SCH 40 DOM",Blk,$9.51,08-002-1-03-1-4015
554351,A0363191180,GOL40,2   x 2,"GOL SCH 40 DOM",Blk,$10.32,08-002-1-03-1-2020
554352,A0363191206,GOL40,2.5 x 2,"GOL SCH 40 DOM",Blk,$10.32,08-002-1-03-1-2520
554353,A0363191222,GOL40,3-8 x 2,"GOL SCH 40 DOM",Blk,$10.32,08-002-1-03-1-3020
554354,A0363191248,GOL40,4   x 2,"GOL SCH 40 DOM",Blk,$10.32,08-002-1-03-1-4020
554358,A0363191289,GOL40,12  x 2,"GOL SCH 40 DOM",Blk,$10.32,08-002-1-03-1-C020
554360,A0363191321,GOL40,2.5 x 2.5,"GOL SCH 40 DOM",Blk,$14.61,08-002-1-03-1-2525
554364,A0363191347,GOL40,3   x 2.5,"GOL SCH 40 DOM",Blk,$14.61,08-002-1-03-1-3025
554363,A0363191362,GOL40,4   x 2.5,"GOL SCH 40 DOM",Blk,$14.61,08-002-1-03-1-4025
554371,A0363191446,GOL40,3   x 3,"GOL SCH 40 DOM",Blk,$19.09,08-002-1-03-1-3030
554372,A0363191461,GOL40,4   x 3,"GOL SCH 40 DOM",Blk,$19.09,08-002-1-03-1-4030
554373,A0363191503,GOL40,6-8 x 3,"GOL SCH 40 DOM",Blk,$19.09,08-002-1-03-1-6030
554381,A0363191545,GOL40,4   x 4,"GOL SCH 40 DOM",Blk,$29.82,08-002-1-03-1-4040
554383,A0363191842,GOL40,12  x 4,"GOL SCH 40 DOM",Blk,$29.82,08-002-1-03-1-C040
554391,A0363191966,GOL40,6   x 6,"GOL SCH 40 DOM",Blk,$60.46,08-002-1-03-1-6060
554382,A0363192006,GOL40,12  x 6,"GOL SCH 40 DOM",Blk,$60.46,08-002-1-03-1-C060
554396,A0363192048,GOL40,12  x 8,"GOL SCH 40 DOM",Blk,$76.44,08-002-1-03-1-C080
POLM30,A0870001021,POLM,2.5 x .5,"PIPE O LET IMP",Blk,$3.00,08-001-1-02-1-2505
POLM85,A0870001039,POLM,10  x .5,"PIPE O LET IMP",Blk,$3.00,08-001-1-02-1-A005
POLM31,A0870001070,POLM,2.5 x .7,"PIPE O LET IMP",Blk,$3.00,08-001-1-02-1-2507
POLM86,A0870001088,POLM,10  x .7,"PIPE O LET IMP",Blk,$3.00,08-001-1-02-1-A007
POLM13,A0870001096,POLM,1.2 x 1,"PIPE O LET IMP",Blk,$4.36,08-001-1-02-1-1210
POLM40,A0870001138,POLM,3   x 1,"PIPE O LET IMP",Blk,$4.36,08-001-1-02-1-3010
POLM87,A0870001146,POLM,10  x 1,"PIPE O LET IMP",Blk,$4.36,08-001-1-02-1-A010
POLM15,A0870001161,POLM,1.2 x 1.2,"PIPE O LET IMP",Blk,$6.37,08-001-1-02-1-1214
POLM33,A0870001179,POLM,2.5 x 1.2,"PIPE O LET IMP",Blk,$6.37,08-001-1-02-1-2512
POLM41,A0870001195,POLM,3   x 1.2,"PIPE O LET IMP",Blk,$6.37,08-001-1-02-1-3012
POLM88,A0870001203,POLM,10  x 1.2,"PIPE O LET IMP",Blk,$6.37,08-001-1-02-1-A012
POLM21,A0870001211,POLM,1.5 x 1.5,"PIPE O LET IMP",Blk,$7.68,08-001-1-02-1-1515
POLM27,A0870001229,POLM,2   x 1.5,"PIPE O LET IMP",Blk,$7.68,08-001-1-02-1-2015
POLM34,A0870001237,POLM,2.5 x 1.5,"PIPE O LET IMP",Blk,$7.68,08-001-1-02-1-2515
POLM51,A0870001245,POLM,4   x 1.5,"PIPE O LET IMP",Blk,$7.68,08-001-1-02-1-4015
POLM89,A0870001260,POLM,10  x 1.5,"PIPE O LET IMP",Blk,$7.68,08-001-1-02-1-A015
POLM28,A0870001278,POLM,2   x 2,"PIPE O LET IMP",Blk,$10.13,08-001-1-02-1-2020
POLM35,A0870001286,POLM,2.5 x 2,"PIPE O LET IMP",Blk,$10.13,08-001-1-02-1-2520
POLM43,A0870001294,POLM,3   x 2,"PIPE O LET IMP",Blk,$10.13,08-001-1-02-1-3020
POLM52,A0870001302,POLM,4   x 2,"PIPE O LET IMP",Blk,$10.13,08-001-1-02-1-4020
POLM71,A0870001310,POLM,6   x 2,"PIPE O LET IMP",Blk,$10.13,08-001-1-02-1-6020
GOLI21,A0870004348,GOL40I,3   x 2.5,"GOL SCH 40 IMP",Blk,$10.49,08-002-1-10-1-3025
HBCA01,A100CF,HBCA,.38,"Hngr Bm CLmp Afcon-100 Sm Mo",Blk,$0.92,09-002-4-07-1-0004
HBCA02,A100DF,HBCA,.5,"Hngr Bm CLmp Afcon-100 Sm Mo",Blk,$2.10,09-002-4-07-1-0005
HBCWM1,A105CH,HBCLMA,.38,"Hngr Bm Clmp Afcon-105 W-M",Blk,$2.27,09-002-4-08-1-0004
RS1603,A160CD10,HRSA160,.38 x 10,"Retaining Strap Afcon-160",Blk,$1.09,09-003-2-06-1-04A0
580203,A2000BK,A2000B,2,"AMES 2000B DCA W/BALL VALVE",Blk,$518.81,06-016-1-01-1-0020
HRNG07,A300CL,HRINGA,2.5,"Ring Hanger Afcon",Blk,$0.79,09-001-1-03-1-0025
HR3034,A303L,HRINGAT,2.5,"Ring Hanger Afcon-303 Trapeze",Blk,$3.87,09-001-5-01-1-0025
HR3035,A303M,HRINGAT,3,"Ring Hanger Afcon-303 Trapeze",Blk,$3.65,09-001-5-01-1-0030
,A4007800A,,,"5/8X50 MD C/PRF A/WTHR HOSE GREE",,$33.74,
PHSM05,A511J,HPA511,1.5,"CPVC Afcon-511 Side Mt Hgr",Blk,$0.71,09-010-5-02-1-0015
576160,A514F,HPA514,.7,"CPVC Afcon-514 Hgr Offset",Blk,$0.47,09-010-5-04-1-0007
SBSBC1,A552,HSBA552,.38,"Tapped Side Bm Conn Afcon-552",Blk,$1.05,09-004-2-09-1-0004
,A90510G,,,"10X1 CPVC H/HEAD SCRW ZN",,$0.09,
582032,AC200BFGL,AC200WBF,2.5,"AMES C-200 BACKFLOW ASSY W/BFV",Blk,$1,302.10,06-016-6-02-1-0025
582033,AC200BFGM,AC200WBF,3,"AMES C-200 BACKFLOW ASSY W/BFV",Blk,$1,382.47,06-016-6-02-1-0030
582034,AC200BFGP,AC200WBF,4,"AMES C-200 BACKFLOW ASSY W/BFV",Blk,$1,473.07,06-016-6-02-1-0040
582036,AC200BFGU,AC200WBF,6,"AMES C-200 BACKFLOW ASSY W/BFV",Blk,$2,368.90,06-016-6-02-1-0060
,AFC310FK,,,"GALV CS SURGE RESTRAINER F/ 3/4-2",,$0.93,
576112,AFC555,HSBA555,.5,"Tapped Side Bm Conn Afcon-555",Blk,$5.22,09-004-2-03-1-0005
,AGF112,,,"1 TEST & DRN M1000 X 1/2 ORFC",,$110.80,
530754,AGF122H,VAGFTD,1.2,"AGF #1000 TEST AND DRAIN 1/2" ORF",Blk,$132.13,06-002-6-01-1-0013
530756,AGF142,VAGFTD,2,"AGF #1000 TEST AND DRAIN 1/2" ORF",Blk,$233.47,06-002-6-01-1-0020
530780,AGF212AG,VAGF1011,1,"AGF #1011 TEST AND DRAIN W 1/2" ORF",Blk,$166.81,06-002-6-03-1-0010
530786,AGF242AK,VAGF1011,2,"AGF #1011 TEST AND DRAIN W 1/2" ORF",Blk,$289.48,06-002-6-03-1-0020
,AGF302AG,,,"1 INSP TST & DRN W/ REL V 1/2 ORFC",,$76.37,
,AGF5300A,VAGF5300,,"AGF # 5300A GALV DRUM DRIP AUX DRN",Blk,$88.23,06-002-6-09-1-0000
,AGF8210F,,,"1-1/4 TXT M8011 RES RSR W/ PRV W/C",,$993.80,
580432,ASSRISERGRVXCIPSU,AIBRS,6,"AMES IN-BLDG RISER SS",Blk,$1,373.46,26-001-1-01-1-0060
580434,ASSRISERGRVXCIPSX,AIBRS,8,"AMES IN-BLDG RISER SS",Blk,$2,166.00,26-001-1-01-1-0080
TRNG04,B200H,HRINGT,1.2,"Ring Hanger Tolco 200",Blk,$0.50,09-001-1-04-1-0013
TRNG05,B200J,HRINGT,1.5,"Ring Hanger Tolco 200",Blk,$0.50,09-001-1-04-1-0015
TRNG06,B200K,HRINGT,2,"Ring Hanger Tolco 200",Blk,$0.53,09-001-1-04-1-0020
TRNG07,B200L,HRINGT,2.5,"Ring Hanger Tolco 200",Blk,$1.57,09-001-1-04-1-0025
TRNG08,B200M,HRINGT,3,"Ring Hanger Tolco 200",Blk,$1.64,09-001-1-04-1-0030
TRNG10,B200P,HRINGT,4,"Ring Hanger Tolco 200",Blk,$2.20,09-001-1-04-1-0040
TRNG12,B200U,HRINGT,6,"Ring Hanger Tolco 200",Blk,$4.63,09-001-1-04-1-0060
TRNG13,B200X,HRINGT,8,"Ring Hanger Tolco 200",Blk,$5.48,09-001-1-04-1-0080
,B29PGF,,,"3/4 DBL OS HGR F/ CPVC PRE GALV",Blk,$2.02,
,B29PGG,,,"1 GALV DBL OS HGR F/ CPVC",Glv,$2.14,
B3009G,B3009G,EMAAR,1,"ELL MI AAR 300 LB",Blk,$16.79,01-008-1-06-1-0010
B3009H,B3009H,EMAAR,1.2,"ELL MI AAR 300 LB",Blk,$24.51,01-008-1-06-1-0013
B3009K,B3009K,EMAAR,2,"ELL MI AAR 300 LB",Blk,$41.57,01-008-1-06-1-0020
RCAR12,B300RCJG,RCMAAR,1.5 x 1,"RED COUP MI AAR 300LB",Blk,$31.94,01-008-5-03-1-1510
GST002,B8008957,SS1GST,2,"Sammy GST Wood Screw",Blk,$0.81,10-006-1-01-1-0020
GST002,B8010957,SS1GST,3,"Sammy GST Wood Screw",Blk,$0.85,10-006-1-01-1-0030
SWG020,B8021957,SS3WG,20,"Sammy Sidewinder Wood Screw",Blk,$1.08,10-006-3-01-1-0200
SWG025,B8022925,SS3WG,25,"Sammy Sidewinder Wood Screw",Blk,$1.12,10-006-3-01-1-0250
SDSTR1,B8038957,SS2DSTR,1,"Sammy Steel Screw",Blk,$0.88,10-006-2-01-1-0010
SDSTR6,B8039957,SS2DSTR,1.2,"Sammy Steel Screw",Blk,$0.95,10-006-2-01-1-0013
WDR516,B8056957,SS5ASWDR,516,"Sammy SWDR Steel",Blk,$1.22,10-006-8-02-1-5160
CST020,B8059957,SS8CST,20,"Sammy CST Concrete Screw",Blk,$0.98,10-006-4-01-1-0200
SSND14,B8113910,SSND14,,"Sammy #14 Nut Driver",Blk,$10.71,10-006-7-01-1-0000
SSNDSW,B8114910,SS9GNDSW,,"Sammy #14 SW Nut Driver",Blk,$10.71,10-006-7-02-1-0000
XP0020,B8150922,SSXPA,20,"Sammy X-Press Anchor",Blk,$4.16,10-006-6-01-1-0200
,B8152910,,,"SAMMY X-PRESS IT DRILL BIT XPDB",Blk,$14.36,
SEUXPI,B8194910,SS9EUXPI,,"Sammy X-Press It Install Tool",Blk,$142.12,10-006-6-05-1-0000
SXP020,B8294922,SS9BSXP,20,"Sammy X-Press Swvl Anchor",Blk,$5.31,10-006-6-02-1-0200
WXP035,B8295922,SS9CSWXP,35,"Sammy Sidewndr XP Anchor",Blk,$5.19,10-006-6-03-1-0350
570011,BATRC10,ATRF,.38 x 120,"All Thread Rod $/FT, QTY=Length",Blk,$0.62,09-007-2-03-1-04Z0
559420,BBGD,BMD,1   x .5,"BUSHING, MI, DOM",Blk,$3.49,01-004-9-01-1-1005
559421,BBGF,BMD,1   x .7,"BUSHING, MI, DOM",Blk,$3.44,01-004-9-01-1-1007
559430,BBHD,BMD,1.2 x .5,"BUSHING, MI, DOM",Blk,$5.11,01-004-9-01-1-1205
559432,BBHG,BMD,1.2 x 1,"BUSHING, MI, DOM",Blk,$4.49,01-004-9-01-1-1210
559443,BBJH,BMD,1.5 x 1.2,"BUSHING, MI, DOM",Blk,$5.70,01-004-9-01-1-1512
559465,BBLK,BMD,2.5 x 2,"BUSHING, MI, DOM",Blk,$11.44,01-004-9-01-1-2520
559122,BCAPG,CAPMD,1,"CAP MI",Blk,$3.34,01-004-7-01-1-0010
559123,BCAPH,CAPMD,1.2,"CAP MI",Blk,$4.40,01-004-7-01-1-0013
559124,BCAPJ,CAPMD,1.5,"CAP MI",Blk,$6.05,01-004-7-01-1-0015
559125,BCAPK,CAPMD,2,"CAP MI",Blk,$8.83,01-004-7-01-1-0020
559202,BCG,CMD,1,"Coupling MI",Blk,$4.89,01-004-0-01-1-0010
559203,BCH,CMD,1.2,"Coupling MI",Blk,$6.34,01-004-0-01-1-0013
557102,BCI4G,E45C,1,"ELL 45 CI",Blk,$6.14,01-001-5-01-1-0010
