Date Printed :4/28/2022 7:43:14 PM										
										
Effective 28-APR-22                                         										
										
Note:Price amounts shown are in US$										
										
PriceList	Category	PartNbr	Part Description	Weight	LeadTime	ListPrice	NetPrice	ReplPartNbr	ReplPartDesc	OrderMultiple
										
KITCHEN KNIGHT II Systems	Cylinders (UL)	553163	"PCL-160 Agent Cylinder Assembly, 1.6 Gal."	35	Call	546.5	273.25			
KITCHEN KNIGHT II Systems	Cylinders (UL)	551194	"PCL-300 Agent Cylinder Assembly, 3.0 Gal."	60	Call	784.5	392.25			
KITCHEN KNIGHT II Systems	Cylinders (UL)	551193	"PCL-460 Agent Cylinder Assembly, SB 4.6 Gal."	89	Call	1108	554			
KITCHEN KNIGHT II Systems	Cylinders (UL)	551196	"PCL-600 Agent Cylinder Assembly, 6.0 Gal."	110.8	Call	1424	712			
KITCHEN KNIGHT II Systems	Cylinders (UL)	550104	PAC-10 Pneumatic Actuating Cylinder	9	Call	759.5	379.75			
KITCHEN KNIGHT II Systems	Cylinders (UL)	551559	PAC-10-PS Pneumatic Actuating Cylinder w/Pressure Switch	9	Call	958.5	479.25			
KITCHEN KNIGHT II Systems	Cylinders (ULC)	551195	"PCL-300 Agent Cylinder Assembly, SB 3.0  Gal."	59.5	Call	784.5	392.25			
KITCHEN KNIGHT II Systems	Cylinders (ULC)	551192	"PCL-460 Agent Cylinder Assembly, 4.6 Gal."	88.9	Call	1108	554			
KITCHEN KNIGHT II Systems	Cylinders (ULC)	551197	"PCL-600 Agent Cylinder Assembly, 6.0 Gal."	110.8	Call	1424	712			
KITCHEN KNIGHT II Systems	Cylinders (ULC)	551125	PAC-10 Pneumatic Actuating Cylinder	9	Call	757	378.5			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	550053	MB-1 Cylinder Mounting Bracket	5	Call	132.5	66.25			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	550054	MB-15 Cylinder Mounting Bracket	3.7	Call	120	60			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	551208	EN-MCU Enclosure with Mechanical Control Unit	28.4	Call	889	444.5			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	550966	EN-S Enclosure for Secondary Cylinders	28	Call	601	300.5			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	550641	PAC 10 Quick Release Strap	0.5	Call	15.25	7.63			
KITCHEN KNIGHT II Systems	Brackets/Enclosures/Straps	550746	MB Bracket Quick Release Strap	0.25	Call	21.75	10.88			
KITCHEN KNIGHT II Systems	Control Heads	551203	"NMCH Control Head, Mechanical, No Local Actuation"	6	Call	528	264			
KITCHEN KNIGHT II Systems	Control Heads	550101	NMCH Cover Assembly Replacement	0.4	Call	42.75	21.38			
KITCHEN KNIGHT II Systems	Control Heads	551204	"NMCH-DPT Control Head w/Switch, Mechanical, No Local Actuation"	6.1	Call	631	315.5			
KITCHEN KNIGHT II Systems	Control Heads	551200	"MCH Control Head, Mechanical, with Local Actuation"	6.1	Call	548.5	274.25			
KITCHEN KNIGHT II Systems	Control Heads	551201	"ECH-24 Control Head, Electrical, 24VDC, with Local Actuation"	7	Call	726	363			
KITCHEN KNIGHT II Systems	Control Heads	551202	"ECH-120 Control Head, Electrical, 120VAC, with Local Actuation"	7	Call	832	416			
KITCHEN KNIGHT II Systems	Control Heads	551206	"NECH-24V Control Head, Electrical, 24VDC, No Local Actuation"	6.1	Call	714.5	357.25			
KITCHEN KNIGHT II Systems	Control Heads	551207	"NECH-120V Control Head, Electrical, 120VAC, No Local Actuation"	6.1	Call	817.5	408.75			
KITCHEN KNIGHT II Systems	Control Heads	551594	ECH/SM-120 ECH-120 Control Head and SM-120 - System Circuit Monitor	8.1	Call	1310	655			
KITCHEN KNIGHT II Systems	Control Heads	550853	"MB-P2 Mounting Bracket, Control Head"	1.2	Call	68	34			
KITCHEN KNIGHT II Systems	Control Heads	550211	Control Head Connector Package	0	Call	18.75	9.38			
KITCHEN KNIGHT II Systems	Circuit Monitors	550303	"SM-24 System Circuit Monitor, 24VDC"	1	Call	479	239.5			
KITCHEN KNIGHT II Systems	Circuit Monitors	550302	"SM-120 System Circuit Monitor, 120VAC"	1.5	Call	584.5	292.25			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551026	"1L Nozzle, Package of 10"	1.5	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551027	"2L Nozzle, Package of 10"	1.3	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551028	"2H Nozzle, Package of 10"	1.5	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551029	"1H Nozzle, Package of 10"	1.3	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551038	"2D Nozzle, Package of 10"	1.5	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	553389	Henny Penny Nozzle Kit	4.1	Call	539.5	269.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	553328	"2F Nozzle, (1 Pc.) HP Kit"	0	Call	65.75	32.88			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	418569	Swivel Adaptor (Single)	0.3	Call	43.5	21.75			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	423572	"Swivel Adaptor , Package of 25"	6.4	Call	834	417			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551265	Nozzle Aiming Device (No Adaptor Included)	1	Call	328	164			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	550926	KITCHEN KNIGHT II Aiming Device Adaptor (use with nozzle aiming device)	0.1	Call	51	25.5			
KITCHEN KNIGHT II Systems	Nozzles/Adaptors/Accessories	551269	Nozzle Aiming Device Replacement Battery	0.1	Call	33.25	16.63			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	551074	"RPS-M Remote Pull Station, Mechanical"	1.1	Call	112	56			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	551166	"RPS-E2 Remote Pull Station, Electrical"	2	Call	111	55.5			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	550088	RPS-MTR Trim Ring for Flush Mounting RPS-M	0.2	Call	30.25	15.13			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	428661	"Break Rod for RPS-E2 Pull Station,2 in. L x1/4 in. Dia.,  Package of 12"	1	Call	26.25	13.13			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	550299	"RPS-EGR Glass Rods, 2 1/4 in. L x 1/8 in.  Dia., Package of 20"	0.1	Call	106.5	53.25			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	551709	"RPS-MGR Glass Rods for RPS-M, Package of 20"	0.1	Call	60.25	30.13			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	550527	RPS-M Pull Station Back Box (Red)	0.5	Call	32.25	16.13			
KITCHEN KNIGHT II Systems	Pull Stations/Accessories	5137	Pull Station Set Screw	0.1	Call	0.43	0.21			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	435547	"Detector, Series (Scissor Linkage) Each"	0.8	Call	55.5	27.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	435546	"Detector, Terminal (Scissor Linkage)"	0.7	Call	69.5	34.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	440495	"Detector, Terminal (Scissor Linkage), Package of 10"	7	Call	645.5	322.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439515	"Detector, Stainless Steel Hook Assembly, Package of 10"	11	Call	234	117			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	435545	"Detector, Stainless Steel Hook Assembly, Each"	0	Call	27	13.5			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	550876	"FLH-25 Hanger, Fusible Link, 25/package"	1.5	Call	213	106.5			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439227	"Fusible Link, 165 deg.F (A-PC Style) 10/package (pkg. price)"	0.3	Call	196.5	98.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439228	"Fusible Link, 212 deg.F (A-PC Style) 10/package (pkg. price)"	0.3	Call	196.5	98.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439229	"Fusible Link, 280 deg.F (A-PC Style) 10/package (pkg. price)"	0.3	Call	196.5	98.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439230	"Fusible Link, 360 deg.F (A-PC Style) 10/package (pkg. price)"	0.3	Call	196.5	98.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439231	"Fusible Link, 450 deg.F (A-PC Style) 10/package (pkg. price)"	0.3	Call	196.5	98.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	439232	"Fusible Link, 500 deg.F, (A-PC Style) 25/package (pkg. price)"	0.3	Call	575	287.5			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	13975	"Detector, Heat, Rate Compensated, 325 deg.F, Vert. (Qty. discount 50+)"	0.3	Call	326	163			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	13974	"Detector, Heat, Rate Compensated, 450 deg.F, Vert. (Qty. discount 50+)"	0.3	Call	341.5	170.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	13971	"Detector, Heat, Rate Compensated, 600 deg.F, Vert. (Qty. discount 50+)"	0.3	Call	354	177			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	441641	24 Pack of Quik- Fastener with 1/8 in. Pilot	0	Call	119.5	59.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	441642	Quik- Fastener Magnetic Driver	0	Call	58.5	29.25			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	441643	1/8 in. Quik-Fastener Pilot Drill	0	Call	18.75	9.38			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	415670	"SBP-1 Corner Pulley, Set Screw Type (each)"	0.2	Call	21.75	10.88			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	551160	"SBP-10 Corner Pulley, Set Screw Type, Package of 10"	2	Call	183	91.5			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	415671	"SBP-50 Corner Pulley, Set Screw Type, Package of 50"	9.5	Call	830	415			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	423250	"CBP-1 Corner Pulley, Compression Type (each)"	0.3	Call	24	12			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	551161	"CBP-1 Corner Pulley, Compression Type, Package of 10"	3	Call	189	94.5			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	423251	"CBP-50 Corner Pulley, Compression Type, Package of 50"	14.9	Call	989	494.5			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	550983	"WBP-10 Corner Pulley, Weather Resistant Type, Package of 10"	1.8	Call	152.5	76.25			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	427929	TP-1 Tee Pulley	0.5	Call	83	41.5			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	550982	"WBP-1 Corner Pulley,  Weather Resistant Type"	0.3	Call	16.25	8.13			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	436063	"Conduit Offset, Package of 6"	3.1	Call	187.5	93.75			
KITCHEN KNIGHT II Systems	Corner Pulleys/Tee	55813	EMT Compression Connector 1/2 in.	0.08	Call	3.28	1.64			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	551059	"16 Gram Carbon Dioxide Actuation Cartridge, Package of 6"	1.2	Call	137.5	68.75			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	417582	"Braided Hose, 8 in.   (20cm)"	0.2	Call	50	25			
